Product ID,Product Name,Marketing Status,Board Form Factor,RAIDLevel,NumInternalPorts,NumExternalPorts,EmbeddedMemorySize
124404,Intel® RAID Maintenance Free Backup AXXRMFBU7,Discontinued,,,,,
94548,Intel® RAID Maintenance Free Backup AXXRMFBU6,Discontinued,,,,,
65389,Backup Unit PCIe Slot Mounting Bracket AXXBBUBRKTP,Discontinued,,,,,
82157,Intel® RAID Maintenance Free Backup AXXRMFBU5,Discontinued,Battery/RMFBU,,,,
78006,Intel® RAID Maintenance Free Backup AXXRMFBU4,Discontinued,Battery/RMFBU,,,,
75100,Intel® RAID Maintenance Free Backup AXXRMFBU3,Discontinued,Battery/RMFBU,,,,
64079,Intel® RAID Maintenance Free Backup AXXRMFBU2,Discontinued,Battery/RMFBU,,,,
56627,Intel® RAID Smart Battery AXXRSBBU9,Discontinued,Battery/RMFBU,,,,
56117,Intel® RAID Smart Battery AXXRSBBU8,Discontinued,Battery/RMFBU,,,,
49606,Intel® RAID Smart Battery AXXRSBBU7,Discontinued,Battery/RMFBU,,,,
49599,Intel® RAID Smart Battery AXXRBBU1,Discontinued,Battery/RMFBU,,,,
49600,Intel® RAID Smart Battery AXXRBBU2,Discontinued,Battery/RMFBU,,,,
49601,Intel® RAID Smart Battery AXXRIBBU1,Discontinued,Battery/RMFBU,,,,
49602,Intel® RAID Smart Battery AXXRPCM2,Discontinued,Battery/RMFBU,,,,
49603,Intel® RAID Smart Battery AXXRPCM3,Discontinued,Battery/RMFBU,,,,
49604,Intel® RAID Smart Battery AXXRSBBU3NIMH,Discontinued,Battery/RMFBU,,,,
49605,Intel® RAID Smart Battery AXXRSBBU6,Discontinued,Battery/RMFBU,,,,
19270,Intel® RAID Smart Battery AXXRSBBU4,Discontinued,Battery/RMFBU,,,,
22844,Intel® RAID Smart Battery AXXRSBBU3,Discontinued,Battery/RMFBU,,,,
